Año,Semestre,Código,Nombre,Créditos,Requisito,Rec_cod,Bibliografía
2,IV,IMA-222,Álgebra III,5 SCT,Requisito,IMA-212,"Hungerford, T. (2013) Abstract Algebra. An Introduction. 3rd ed. Cengage Learning.; Dummit, D. and Foote, R. (2003) Abstract Algebra, 3rd Edition. Wiley.; Fraleigh, J. (2003) A First Course in Abstract Algebra. 7th ed. Pearson, Upper Saddle River."
2,IV,IMA-223,Física III,5 SCT,Requisito,IMA-213,"Serway, R. A., and Jewett, J. W. (2015) Física para ciencias e ingeniería, volumen II, 9a ed, Colombia: Cengage Learning.; Resnick R., and Halliday D. (2013) Fundamentals of Physics 10a ed,, EE.UU: John Wiley & Sons Inc.; Tipler, M. (2010) Física para la ciencia y la tecnología volumen II, 6a ed., México: Editorial Reverté."
2,IV,IMA-224,Química,5 SCT,Sin requisito,,"Brown, T. et al. (2013) Química, la Ciencia Central. México: Pearson.; Chang, R. and Goldsby, K. (2017) Química, México: Mc Graw-Hill.; Petrucci, R. et al. (2017) Química General, Madrid: Pearson Educación."
2,IV,IMA-225,Computación III,5 SCT,Requisito,IMA-215,"Connolly, T. M. and Begg, C. E (2005) Sistemas de bases de datos: Un Enfoque Práctico para Diseño, Implementación y Gestión, 4a Edición, Madrid: Editorial Pearson Education.; Silberschatz, A., Korth, H.F and Sudarshan, S. (2006) Fundamentos de Bases de Datos, 5a Edición, Madrid: Editorial McGraw-Hill.; Ramakrishnan, R. and Gehrke, J. (2007) Sistemas de Gestión de Bases de Datos, 3a Edición, Madrid: Editorial McGraw-Hill. Madrid."
2,IV,IFG-400,Inglés IV,3 SCT,Requisito,IFG-300,"No se dispone de bibliografía."
3,V,IMA-311,Análisis Matemático,6 SCT,Requisito,IMA-221,"Lima, E. L., e Instituto de Matemática Pura e Aplicada. (2013) Curso de analise, Volume 1, Rio de Janeiro: IMPA.; Honig, C. S. (2011) Aplicaciones a la topología y analisis, Sao Paulo: Livraria da Fisica.; Zorich, V. A. (2016) Mathematical Analysis I, Heidelberg: Springer."
3,V,IMA-312,Matemáticas Discretas y Combinatoria,4 SCT,Sin requisito,,"Grimaldi, R., P. (1998) Matemáticas discreta y combinatoria: una introducción con aplicaciones, México: Addison Wesley Longman.; Johnsonbaugh, R. (2019) Discrete mathematics, New York: NY Pearson.; Koshy, T. (2008) Discrete mathematics with applications, Amsterdam: Elsevier Academic Press."
3,V,IMA-313,Termodinámica,5 SCT,Requisito,IMA-211,"Reif, F. (2010) Fundamentals of Statistical and Thermal Physics, Calcuta: Levant.; Levenspiee, O., and Magnani, J. L. S. W. M. (2000) Termodinâmica amistosa para engenheiro, São Paulo: Edgard Blucher.; Çengel, Y. A., Boles, M. A., and Kanoglu, M. (2011) Thermodynamics: An engineering approach, Singapore: McGraw-Hill."
3,V,IMA-314,Probabilidades y Estadística,5 SCT,Requisito,IMA-211,"Montgomery D., Runger G. (2006) Probabilidad y estadística aplicadas a la ingeniería, México D.F: McGraw-Hill.; Wackerly D.D., Mendenhall W., Scheaffer R. (2010) Estadística matemática con aplicaciones séptima edición, México; Cengage Learning.; Murray, S., Schiller J., Srinivasan R. (2014) Probabilidad y estadística, cuarta edición, México: McGraw-Hill."
3,V,IMA-315,Cálculo Numérico,5 SCT,Requisito,IMA-221,"Ramin S.E. (2017) Numerical Methods for Engineers and Scientists Using Matlab, Segunda edición, Boca Ratón: CRC Press Taylor & Francis Group.; Burden R.L. (2017) Análisis Numérico, décima edición, Distrito Federal: Cengage Learning.; Mathews J.H., Fink K.D. (2011) Métodos numéricos con MATLAB, tercera edición, Madrid: Pearson Prentice Hall."
